"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q5532","","","بحيرة مالاوي","মালাউই হ্রদ","Malawisee","Lake Malawi","Lago Malaui","lac Malawi","Λίμνη Νιάσα","मलावी झील","Nyasza-tó","Danau Malawi","lago Malawi","マラウイ湖","말라위 호","Malawimeer","Niasa","Lago Niassa","Малави","Malawisjön","Malavi Gölü","Hồ Malawi","马拉维湖"
"Q5539","","","بحيرة جريت سليف","","Großer Sklavensee","Great Slave Lake","Gran Lago del Esclavo","Grand lac des Esclaves","Μεγάλη Λίμνη των Σκλάβων","","Nagy-Rabszolga-tó","","Grande Lago degli Schiavi","グレートスレーブ湖","그레이트슬레이브 호","Great Slave Lake","Wielkie Jezioro Niewolnicze","Grande Lago do Escravo","Большое Невольничье озеро","Stora Slavsjön","Büyük Esir Gölü","Hồ Slave Lớn","大奴湖"
"Q15288","","","بحيرة لادوغا","","Ladogasee","Lake Ladoga","Ládoga","lac Ladoga","Λάντογκα","लादोगा झील","Ladoga-tó","Danau Ladoga","lago Ladoga","ラドガ湖","라도가 호","Ladogameer","Ładoga","Lago Ladoga","Ладожское озеро","Ladoga","Ladoga Gölü","Hồ Ladoga","拉多加湖"
"Q35342","","","بحيرة تيتيكاكا","তিতিকাকা হ্রদ","Titicacasee","Titicaca","Titicaca","lac Titicaca","Τιτικάκα","टीटीकाका झील","Titicaca-tó","Danau Titicaca","Titicaca","チチカカ湖","티티카카 호","Titicacameer","Titicaca","Lago Titicaca","Титикака","Titicacasjön","Titikaka Gölü","Hồ Titicaca","的的喀喀湖"
"Q35883","","","بحر آرال","","Aralsee","Aral Sea","Mar de Aral","Mer d'Aral","Λίμνη Αράλη","अरल सागर","Aral-tó","Laut Aral","lago d'Aral","アラル海","아랄 해","Aralmeer","Jezioro Aralskie","Mar de Aral","Аральское море","Aralsjön","Aral Gölü","Biển Aral","鹹海"
"Q134485","","","بحيرة بالكاش","","Balchaschsee","Lake Balkhash","Lago Baljash","lac Balkhach","Λίμνη Μπαλκάς","बलख़श झील","Balkas-tó","Danau Balkhash","lago Balqaš","バルハシ湖","발하시 호","Balkasjmeer","Bałchasz","Lago Balkhash","Балхаш","Balchasjsjön","Balkaş Gölü","Hồ Balkhash","巴尔喀什湖"
"Q116685","","","بحيرة تانا","","Tanasee","Lake Tana","Lago Tana","lac Tana","Τάνα","ताना झील","Tana-tó","","lago Tana","タナ湖","타나 호","Tanameer","Jezioro Tana","Lago Tana","Тана","Tanasjön","","Hồ Tana","塔納湖"
"Q166162","","","بحيرة أونيغا","","Onegasee","Lake Onega","Onega","lac Onega","Λίμνη Ονέγκα","ओनेगा झील","Onyega-tó","Danau Onega","lago Onega","オネガ湖","오네가 호","Onegameer","Onega","Lago Onega","Онежское озеро","Onega","Onega Gölü","Hồ Onega","奥涅加湖"
"Q173596","","","بحيرة فانيرن","","Vänern","Vänern","Lago Vänern","Vänern","Βένερν","","Vänern-tó","Vänern","Vänern","ヴェーネルン湖","베네른 호","Vänermeer","Wener","Lago Vänern","Венерн","Vänern","Vänern Gölü","Hồ Vänern","维纳恩湖"
"Q173862","","","بحيرة نيكاراغوا","লেক নিকারাগুয়া","Nicaraguasee","Lake Nicaragua","Lago Cocibolca","lac Nicaragua","Λίμνη Νικαράγουα","","Nicaragua-tó","Danau Nikaragua","lago Nicaragua","ニカラグア湖","니카라과 호","Meer van Nicaragua","Nikaragua","Lago Nicarágua","Никарагуа","Nicaraguasjön","Nikaragua Gölü","Hồ Nicaragua","尼加拉瓜湖"
"Q1134446","","","","","Reindeer Lake","Reindeer Lake","Lago Reindeer","lac Reindeer","","","","","lago delle Renne","","레인디어 호","Reindeer Lake","Jezioro Reniferowe","Lago Reindeer","Оленье озеро","Reindeer Lake","","","馴鹿湖"
"Q202905","","","بحيرة أوكي تشوبي","","Okeechobeesee","Lake Okeechobee","Lago Okeechobee","lac Okeechobee","","","","","lago Okeechobee","オキーチョビー湖","","Okeechobeemeer","Okeechobee","Lago Okeechobee","Окичоби","Lake Okeechobee","Okeechobee Gölü","","奧基喬比湖"
"Q272463","","","","","Athabascasee","Lake Athabasca","Lago Athabasca","lac Athabasca","","","Atabaszk-tó","","Athabasca","アサバスカ湖","","Athabascameer","Athabaska","Lago Athabasca","Атабаска","Athabascasjön","Athabasca Gölü","","阿薩巴斯卡湖"
"Q1052532","","","","","Cedar Lake","Cedar Lake","Lago Cedar","lac des Cèdres","","","","","Cedar Lake","シーダー湖","","Cedar Lake","Cedar","Lago Cedar","Сидар","Cedar Lake","","","錫達湖"
